address,title,access,default,field,msb,lsb,values,description,
0x0022,,,,pll_lock_tx,0,0,"0=No lock,1=Locked",TX PLL lock status.,
0x0023,PLL control,R/W,0x0000,phcfg_mode,14,14,"0 = manual, 1 = auto",Phase configuration mode.,
0x0023,,,,pll_ind,7,3,"0000 = TX PLL, 0001 = RX PLL",PLL index.,
0x0023,,,,phcfg_start,1,1,0->1 edge,Start phase configuration on transition.,
0x0024,reserved,R/W,0x0000,Reserved,15,0,,Reserved.,
0x0025,reserved,R/W,0x01F0,Reserved,15,0,,Reserved.,
0x0026,mn_bypass_ctrl,R/W,0x000A,m_byp,3,3,"0=normal,1=bypass",M counter bypass control.,
0x0026,,,,n_byp,1,1,"0=normal,1=bypass",N counter bypass control.,
0x0027,c01_bypass_ctrl,R/W,0x0AAA,c0_byp,1,1,"0=normal,1=bypass",C0 output-divider bypass control.,
0x0027,,,,c1_byp,3,3,"0=normal,1=bypass",C1 output-divider bypass control.,
0x0028,reserved,R/W,0xAAAA,Reserved,15,0,,Reserved.,
0x0029,reserved,R/W,0xAAAA,Reserved,15,0,,Reserved.,
0x002A,n_cnt,R/W,0x0000,n_cnt,15,0,,PLL divider value.,
0x002B,m_cnt,R/W,0x0000,m_cnt,15,0,,PLL multiplier value.,
0x002C,m_frac(LSB),R/W,0x0000,m_frac_l,15,0,,"PLL multiplier fractional value, LSB.",
0x002D,m_frac(MSB),R/W,0x0000,m_frac_h,15,0,,"PLL multiplier fractional value, MSB.",
0x002E,c0_cnt,R/W,0x0000,c0_cnt,15,0,,PLL output 0 divider value.,
0x002F,c1_cnt,R/W,0x0000,c1_cnt,15,0,,PLL output 1 divider value.,
0x0030,auto_phcfg_smpls,R/W,0xEFFF,auto_phcfg_smpls,15,0,,Number of samples used during auto phase configuration.,
0x0060,reserved,R/W,0x0000,Reserved,15,0,,Reserved.,
0x0061,test enable,R/W,0x0000,test_en[2],2,2,0/1,GNSS test start.,
0x0061,,,,test_en[1],1,1,0/1,LMS TX clock test start.,
0x0061,,,,test_en[0],0,0,0/1,System clock test start.,
0x0065,test complete,R,0x0000,test_cmplt[2],2,2,status,GNSS test complete.,
0x0065,,,,test_cmplt[1],1,1,status,LMS TX clock test complete.,
0x0065,,,,test_cmplt[0],0,0,status,System clock test complete.,
0x0066,reserved,R/W,0x0000,Reserved,15,0,,Reserved.,
0x0067,test_rez,R/W,0x0000,test_rez[2],2,2,,GNSS test result., documented as not implemented.
0x0067,test_rez,R/W,0x0000,test_rez[1],1,1,,LMS TX clock test result., documented as not implemented.
0x0067,test_rez,R/W,0x0000,test_rez[0],0,0,,System clock test result., documented as not implemented.
0x0068,reserved,R/W,0x0000,Reserved,15,0,,Reserved.,
0x0069,sys_clk_cnt,R/W,0x0000,sys_clk_cnt,15,0,,Count of sys_clk cycles, changing values indicate an active clock.
0x0072,lms_tx_clk_cnt,R/W,0x0000,lms_tx_clk_cnt,15,0,,Low 16 bits of LMS TX clock test counter.,
0x0073,lms_tx_clk_cnt,R/W,0x0000,Reserved,15,8,,,
0x0073,lms_tx_clk_cnt,R/W,0x0000,lms_tx_clk_cnt,7,0,,Bits 23:16 of LMS TX clock test counter.,
0x007D,tx_tst_i,R/W,0xAAAA,tx_tst_i,15,0,,TX test value for I channel.,
0x007E,tx_tst_q,R/W,0x5555,tx_tst_q,15,0,,TX test value for Q channel.,
0x007F,reserved,R/W,0x0000,Reserved,15,0,,Reserved.,
0x0100,en,R/W,0x0001,en,0,0,"0 = disable, 1 = enable",GNSS module control,
0x0101,gnss_utc_sss0,R,0x0000,sss0,11,0,,UTC of position fix (SSS0) in BCD format.,
0x0102,gnss_utc_mm_ss1,R,0x0000,mm,15,8,,UTC of position fix (MM) in BCD format.,
0x0102,,,,ss1,7,0,,UTC of position fix (SS1) in BCD format.,
0x0103,gnss_utc_hh,R,0x0003,hh,7,0,,UTC of position fix (HH) in BCD format.,
0x0104,gnss_status,R,0x0000,status,0,0,"1 = Data valid, 0 = Warning",GNSS data valid status.,
0x0105,gnss_lat_ll1_ll0,R,0x0022,ll1,15,8,,Latitude (LL1) in BCD format.,
0x0105,,,,ll0,7,0,,Latitude (LL0) in BCD format.,
0x0106,gnss_lat_ll3_ll2,R,0x0000,ll3,15,8,,Latitude (LL3) in BCD format.,
0x0106,,,,ll2,7,0,,Latitude (LL2) in BCD format.,
0x0107,gnss_lat_n_s,R,0x0164,n_s,0,0,"0 = N, 1 = S",Latitude North/South indicator.,
0x0108,gnss_long_yy1_yy0,R,0x0000,yy1,15,8,,Longitude (YY1) in BCD format.,
0x0108,,,,yy0,7,0,,Longitude (YY0) in BCD format.,
0x0109,gnss_long_yy3_yy2,R,0x0000,yy3,15,8,,Longitude (YY3) in BCD format.,
0x0109,,,,yy2,7,0,,Longitude (YY2) in BCD format.,
0x010A,gnss_long_y4,R,0x0000,y4,3,0,,Longitude (Y4) in BCD format.,
0x010B,gnss_long_e_w,R,0x0000,e_w,0,0,"0 = E, 1 = W",Longitude East/West indicator.,
0x010C,gnss_speed_xx1_xx0,R,0x0000,xx1,15,8,,Speed over ground (XX1) in BCD format.,
0x010C,,,,xx0,7,0,,Speed over ground (XX0) in BCD format.,
0x010D,gnss_speed_xx2,R,0x0000,xx2,7,0,,Speed over ground (XX2) in BCD format.,
0x010E,gnss_course_xx1_xx0,R,0x0000,xx1,15,8,,Course over ground (XX1) in BCD format.,
0x010E,,,,xx0,7,0,,Course over ground (XX0) in BCD format.,
0x010F,gnss_course_x2,R,0x0000,x2,3,0,,Course over ground (X2) in BCD format.,
0x0110,gnss_date_mm_yy,R,0x0000,mm,15,8,,Date (MM) in BCD format.,
0x0110,,,,yy,7,0,,Date (YY) in BCD format.,
0x0111,gnss_date_dd,R,0x0000,dd,7,0,,Date (DD) in BCD format.,
0x0114,gnss_fix,R,0x0000,gagsa_fix,15,12,"1=No fix, 2=2D, 3=3D",Galileo fix status.,
0x0114,,,,gbgsa_fix,11,8,"1=No fix, 2=2D, 3=3D",BeiDou fix status.,
0x0114,,,,gpgsa_fix,7,4,"1=No fix, 2=2D, 3=3D",GPS fix status.,
0x0114,,,,glgsa_fix,3,0,"1=No fix, 2=2D, 3=3D",GLONASS fix status.,
0x00C0,board_gpio_ovrd,R/W,0x0002,board_gpio_ovrd,15,0,"0 = dedicated function, 1 = user override",GPIO override control. Separate bits controls corresponding GPIO,
0x00C4,board_gpio_dir,R/W,0x0000,board_gpio_dir,15,0,"0 = input, 1 = output.",Onboard GPIO direction. ,
0x00C5,reserved,R/W,0x0000,Reserved,15,0,,Reserved.,
0x00C6,board_gpio_val,R/W,0x0000,board_gpio_val,15,0,"0 = low, 1 = high.",GPIO output value. ,
0x00CA,periph_input_sel,R/W,0x0000,periph_input_sel,15,0,"0 = GNSS_1PPS, 1 = 1PPSI_GPIO1.",PPS input source select. ,
0x00D2,PERIPH_EN,R/W,0x0003,PERIPH_EN,2,0,,"Peripheral enables: clock-out routing, GNSS reset, GNSS standby.",
0x00D3,reserved,R/W,0x0000,Reserved,15,0,,Reserved.,
